idx,body,quality,pred_px,pred_py,pred_world_x,pred_world_y,pred_world_z,pred_angle_rad,pred_width_px
0,item_0009,0.8847,198,436,-0.0932,0.0857,0.8036,1.4782,0.95
1,item_0013,0.8846,429,263,0.0461,0.2079,0.9014,-0.3773,1.24
2,item_0009,0.8598,173,436,-0.1107,0.0857,0.8036,1.4597,0.81
3,item_0009,0.8384,186,436,-0.1019,0.0857,0.8036,1.4382,0.73
4,item_0013,0.8238,442,244,0.0518,0.2178,0.9055,0.0719,0.88
5,item_0011,0.8134,429,436,0.0556,0.1016,0.8505,1.3976,0.72
6,item_0009,0.8082,224,436,-0.0757,0.0857,0.8036,1.3726,0.68
7,item_0003,0.8060,484,441,0.1001,0.0856,0.8118,-1.4946,0.68
8,item_0015,0.8019,218,206,-0.0628,0.2376,0.9010,-0.1223,0.71
9,item_0009,0.8004,211,436,-0.0844,0.0857,0.8036,1.2907,0.59
