total_timesteps,entropy_loss,explained_variance,policy_gradient_loss,value_loss,approx_kl,clip_fraction,n_updates
29988,-5.004537318327597,-0.0097246170043945,-0.0414044721529145,14.8429686114192,0.031408094,0.2437744140625,10.0
59976,-4.9310964536454,0.703502893447876,-0.0436176962817886,11.580484479772194,0.03277993,0.2964181082589285,20.0
89964,-4.884815480666501,0.8862464427947998,-0.046325037025859,9.04301121500986,0.037802335,0.3396414620535714,30.0
119952,-4.829883458784648,0.9462181329727172,-0.0437923877954225,7.964207615064723,0.036387622,0.3421735491071428,40.0
149940,-4.773524499045951,0.9603285789489746,-0.0470369508416167,7.605715164967946,0.03625233,0.3707693917410714,50.0
179928,-4.751054576571499,0.9628823399543762,-0.0454678578893695,7.444244831055403,0.03693064,0.37998046875,60.0
209916,-4.72295399499791,0.9689146280288696,-0.0466112353394107,6.281841394571321,0.037732664,0.3943743024553571,70.0
229908,-4.654453716533524,0.9762324690818788,-0.049043764236038,5.199235147716744,0.040222976,0.4092668805803571,80.0
259896,-4.628417367381709,0.9757158756256104,-0.0481660220038195,5.268983721892749,0.041142277,0.4046316964285714,90.0
289884,-4.555639241316489,0.9762075543403624,-0.0502131929273933,5.049285808258823,0.040891223,0.4152518136160714,100.0
319872,-4.527265468878405,0.9772063493728638,-0.0517918651466191,4.894864199736289,0.041205738,0.4137346540178571,110.0
349860,-4.474463200462716,0.9789741635322572,-0.0517451511826948,4.58941229645695,0.043823514,0.4285574776785714,120.0
379848,-4.4423365497163365,0.9799329042434692,-0.0536192344393514,4.356456924735435,0.043399353,0.430517578125,130.0
409836,-4.418312906048127,0.9819939136505128,-0.0538880695110752,3.8109298056523713,0.045097988,0.4418875558035714,140.0
439824,-4.387978450528213,0.9847047328948976,-0.0555630059844198,3.267765974093761,0.04651276,0.4498953683035714,150.0
